id,name,place,start_day,end_day
179,第177回東海大学記録会,東海大学湘南校舎陸上競技場,2008-11-30,2008-11-30
180,第200回日本体育大学長距離競技会,日本体育大学健志台陸上競技場,2008-12-13,2008-12-13
181,第9回荒川河川敷大学対校駅伝,荒川河川敷,2008-12-21,2008-12-21
182,2008上尾市陸上競技選手権冬季大会,上尾運動公園陸上競技場,2008-12-23,2008-12-23
183,第53回調布市民駅伝競走大会,調布市役所,2009-01-25,2009-01-25
184,第5回関東学生クロスカントリーオープン競技会,東京大学検見川総合運動場,2009-02-14,2009-02-14
185,第28回立川・昭島マラソン,昭和記念公園,2009-03-08,2009-03-08
186,第8回国士舘大学競技会,国士舘大学,2009-03-21,2009-03-21
187,佐倉朝日健康マラソン,岩名運動公園,2009-03-29,2009-03-29
188,第2回筑波大競技会,筑波大学,2009-04-18,2009-04-18
189,第2回国士舘大学競技会,国士舘大学,2009-05-03,2009-05-03
190,越谷陸上競技記録会,,2009-05-04,2009-05-04
191,第4回日本大学競技会,,2009-05-06,2009-05-06
192,第88回関東学生陸上競技選手権大会,,2009-05-16,2009-05-16
193,第57回東京地区国公立大学対校陸上競技大会,,2009-05-31,2009-05-31
194,第3回国士舘大学競技会,,2009-06-06,2009-06-06
195,第64回埼玉県陸上競技選手権大会,,2009-06-07,2009-06-07
196,第6回14大学対校陸上競技大会,,2009-06-28,2009-06-28
197,山形県陸上競技選手権大会,,2009-07-11,2009-07-11
198,第5回越谷市陸上競技選手権大会,,2009-08-01,2009-08-01
199,関東選手権,,2009-08-23,2009-08-23
200,上尾市陸上競技選手権大会,,2009-08-29,2009-08-29
201,第41回関東理工系学生対校陸上競技選手権大会,,2009-09-12,2009-09-12
202,第24回国公立22大学対校陸上競技大会,,2009-09-19,2009-09-19
203,関東学連秋季オープン競技会,,2009-10-12,2009-10-12
204,第34回高島平ロードレース大会,,2009-10-18,2009-10-18
205,第202回日体大長距離記録会,,2009-10-24,2009-10-24
206,第9回東京大学競技会,,2009-10-31,2009-10-31
207,第203回日体大長距離競技会,,2009-11-07,2009-11-07
208,第6回国士舘大学競技会,,2009-11-14,2009-11-14
209,第8回22大学対校駅伝,,2009-11-22,2009-11-22
210,第205回日体大長距離競技会,,2009-12-06,2009-12-06
211,第27回平成国際大学競技会,,2009-12-12,2009-12-12
212,第10回荒川河川敷大学対校駅伝,,2009-12-20,2009-12-20
213,2009年度上尾市陸上競技選手権,,2009-12-23,2009-12-23
214,第45回「新春」東京喜多(北)マラソン大会,,2010-01-17,2010-01-17
215,第54回 調布市民駅伝競走大会,,2010-01-31,2010-01-31
216,第32回 神奈川マラソン,,2010-02-07,2010-02-07
217,第4回 ふかやシティハーフマラソン,,2010-02-28,2010-02-28
218,第29回 立川・昭島マラソン,,2010-03-14,2010-03-14
219,国士館大学競技会,,2010-03-27,2010-03-27
220,行田市鉄剣マラソン大会,,2010-04-04,2010-04-04
221,第1回　国士館大学競技会,,2010-04-10,2010-04-10
222,日体大長距離記録会,,2010-04-17,2010-04-17
223,第28回 平成国際大学競技会,,2010-05-02,2010-05-02
224,第65回 日本体育大学陸上競技会,,2010-05-03,2010-05-03
225,第89回 関東学生陸上競技対校選手権大会,,2010-05-15,2010-05-15
226,日体大記録会,,2010-05-29,2010-05-29
227,世田谷記録会,,2010-06-19,2010-06-19
228,第66回　日本体育大学陸上競技会,,2010-06-26,2010-06-26
229,第７回１４大学対校陸上競技大会,,2010-07-11,2010-07-11
